,year,CO2,CH4,N2O,CFC11,CFC12,solaire,chlore,GHG
0,1765,278.0516,721.8941,272.9596,0.0,0.0,1360.6276,480.0,0.0
1,1766,278.1062,722.2557,272.9712,0.0,0.0,1360.5971,480.0,0.01737625867
2,1767,278.2204,722.9708,272.9942,0.0,0.0,1360.8022,480.0,0.0367503356
3,1768,278.3431,723.6679,273.0168,0.0,0.0,1361.0542,480.0,0.0405480889
4,1769,278.4706,724.3431,273.039,0.0,0.0,1361.2383,480.0,0.044165726
5,1770,278.6005,724.9953,273.061,0.0,0.0,1361.2409,480.0,0.0478051493
6,1771,278.7328,725.6289,273.0826,0.0,0.0,1361.1348,480.0,0.0514714977
7,1772,278.8688,726.2496,273.1039,0.0,0.0,1361.0628,480.0,0.055196487
8,1773,279.0091,726.8586,273.1249,0.0,0.0,1360.8446,480.0,0.058989169
9,1774,279.1532,727.4548,273.1456,0.0,0.0,1360.8066,480.0,0.0628419303
10,1775,279.3018,728.037,273.1662,0.0,0.0,1360.6702,480.0,0.0667663941
11,1776,279.4568,728.6039,273.1866,0.0,0.0,1360.7246,480.0,0.070797318
12,1777,279.6181,729.1543,273.2068,0.0,0.0,1360.8858,480.0,0.0749312366
13,1778,279.7819,729.687,273.2268,0.0,0.0,1361.1149,480.0,0.0790959109
14,1779,279.9432,730.2009,273.2466,0.0,0.0,1361.1726,480.0,0.0831925312
15,1780,280.0974,730.6922,273.2665,0.0,0.0,1360.9951,480.0,0.0871316358
16,1781,280.2428,731.1541,273.2862,0.0,0.0,1361.1062,480.0,0.0908743349
17,1782,280.3817,731.5842,273.3059,0.0,0.0,1360.842,480.0,0.0944622317
18,1783,280.5183,731.9889,273.3254,0.0,0.0,1360.7491,480.0,0.0979830365
19,1784,280.6572,732.3776,273.345,0.0,0.0,1360.6177,480.0,0.1015313241
20,1785,280.8026,732.76,273.3646,0.0,0.0,1360.6767,480.0,0.1051976262
21,1786,280.9568,733.1456,273.3843,0.0,0.0,1360.988,480.0,0.1090340122
22,1787,281.1181,733.5441,273.404,0.0,0.0,1361.1529,480.0,0.1130161868
23,1788,281.2819,733.9651,273.4238,0.0,0.0,1361.0995,480.0,0.1170667815
24,1789,281.4432,734.4181,273.4436,0.0,0.0,1361.079,480.0,0.1210973266
25,1790,281.5982,734.9109,273.4636,0.0,0.0,1360.9802,480.0,0.125044493
26,1791,281.7468,735.4454,273.4838,0.0,0.0,1360.8305,480.0,0.1289080591
27,1792,281.8909,736.0182,273.5041,0.0,0.0,1360.8165,480.0,0.1327207312
28,1793,282.0312,736.6257,273.5246,0.0,0.0,1360.7961,480.0,0.1364918252
29,1794,282.1673,737.2648,273.5452,0.0,0.0,1360.7024,480.0,0.1402124405
30,1795,282.299,737.9327,273.5661,0.0,0.0,1360.5857,480.0,0.1438780609
31,1796,282.4268,738.6265,273.5873,0.0,0.0,1360.5561,480.0,0.1474925335
32,1797,282.5509,739.3434,273.6088,0.0,0.0,1360.5032,480.0,0.151059148
33,1798,282.6712,740.0803,273.6305,0.0,0.0,1360.4783,480.0,0.1545722471
34,1799,282.7873,740.8344,273.6525,0.0,0.0,1360.4845,480.0,0.1580218683
35,1800,282.899,741.6081,273.6748,0.0,0.0,1360.5249,480.0,0.1614079336
36,1801,283.0068,742.4133,273.6976,0.0,0.0,1360.7962,480.0,0.1647490566
37,1802,283.1109,743.26,273.7208,0.0,0.0,1360.675,480.0,0.1680612577
38,1803,283.2113,744.1459,273.7443,0.0,0.0,1360.5432,480.0,0.1713387741
39,1804,283.3074,745.0635,273.7683,0.0,0.0,1360.5471,480.0,0.1745655263
40,1805,283.3996,746.0047,273.7927,0.0,0.0,1360.5574,480.0,0.177743338
41,1806,283.4898,746.9619,273.8176,0.0,0.0,1360.4602,480.0,0.180897653
42,1807,283.578,747.9273,273.843,0.0,0.0,1360.3929,480.0,0.1840241359
43,1808,283.6612,748.893,273.8689,0.0,0.0,1360.3678,480.0,0.1870591053
44,1809,283.7351,749.8512,273.8953,0.0,0.0,1360.3401,480.0,0.1899152718
45,1810,283.7968,750.7982,273.9223,0.0,0.0,1360.3315,480.0,0.192531561
46,1811,283.8467,751.739,273.9498,0.0,0.0,1360.3443,480.0,0.1949237972
47,1812,283.8885,752.6816,273.9779,0.0,0.0,1360.385,480.0,0.1971689993
48,1813,283.9261,753.6284,274.0067,0.0,0.0,1360.4335,480.0,0.1993407551
49,1814,283.9627,754.5787,274.036,0.0,0.0,1360.4572,480.0,0.2014987049
50,1815,284.0011,755.5313,274.0661,0.0,0.0,1360.5121,480.0,0.2036974245
51,1816,284.0427,756.4855,274.0967,0.0,0.0,1360.6077,480.0,0.2059613797
52,1817,284.0861,757.4403,274.1281,0.0,0.0,1360.5812,480.0,0.2082647626
53,1818,284.1285,758.3948,274.1602,0.0,0.0,1360.5333,480.0,0.2105515866
54,1819,284.1667,759.3481,274.1931,0.0,0.0,1360.5183,480.0,0.2127608473
55,1820,284.1982,760.2995,274.2266,0.0,0.0,1360.4627,480.0,0.2148481546
56,1821,284.2233,761.2494,274.2609,0.0,0.0,1360.4411,480.0,0.2168176782
57,1822,284.2443,762.1983,274.296,0.0,0.0,1360.4648,480.0,0.2187117006
58,1823,284.2631,763.1468,274.3318,0.0,0.0,1360.4699,480.0,0.2205697494
59,1824,284.2813,764.0953,274.3685,0.0,0.0,1360.5108,480.0,0.2224223498
60,1825,284.3003,765.0439,274.406,0.0,0.0,1360.5839,480.0,0.2242924271
61,1826,284.32,765.993,274.4443,0.0,0.0,1360.6868,480.0,0.2261829385
62,1827,284.34,766.943,274.4835,0.0,0.0,1360.7976,480.0,0.2280843662
63,1828,284.36,767.894,274.5236,0.0,0.0,1360.8848,480.0,0.2299920811
64,1829,284.38,768.8464,274.5646,0.0,0.0,1360.9026,480.0,0.2319064482
65,1830,284.4,769.7984,274.6065,0.0,0.0,1360.9435,480.0,0.233825947
66,1831,284.385,770.745,274.6493,0.0,0.0,1360.779,480.0,0.2350875391
67,1832,284.28,771.6831,274.6931,0.0,0.0,1360.6774,480.0,0.2346530967
68,1833,284.125,772.6154,274.7378,0.0,0.0,1360.5824,480.0,0.2332772908
69,1834,283.975,773.5469,274.7835,0.0,0.0,1360.6177,480.0,0.2319997418
70,1835,283.825,774.4829,274.8302,0.0,0.0,1360.8779,480.0,0.2307309586
71,1836,283.675,775.4284,274.8779,0.0,0.0,1361.2582,480.0,0.2294756673
72,1837,283.525,776.3887,274.9267,0.0,0.0,1361.3313,480.0,0.2282386907
73,1838,283.425,777.3687,274.9765,0.0,0.0,1361.1191,480.0,0.2279692062
74,1839,283.4,778.3737,275.0275,0.0,0.0,1361.037,480.0,0.229144671
75,1840,283.4,779.4118,275.0797,0.0,0.0,1360.9207,480.0,0.2308291594
76,1841,283.425,780.4941,275.1364,0.0,0.0,1360.7696,480.0,0.2330438609
77,1842,283.5,781.624,275.2022,0.0,0.0,1360.7148,480.0,0.2362789336
78,1843,283.6,782.7932,275.2731,0.0,0.0,1360.6447,480.0,0.2400413183
79,1844,283.725,783.9886,275.3371,0.0,0.0,1360.6752,480.0,0.2442776042
80,1845,283.9,785.1973,275.3804,0.0,0.0,1360.8025,480.0,0.2494006334
81,1846,284.075,786.4061,275.3984,0.0,0.0,1360.9004,480.0,0.2544395459
82,1847,284.225,787.6022,275.4013,0.0,0.0,1361.0014,480.0,0.2589471362
83,1848,284.4,788.7725,275.4008,0.0,0.0,1361.1972,480.0,0.2638939118
84,1849,284.575,789.904,275.4003,0.0,0.0,1361.1882,480.0,0.2688098177
85,1850,284.725,790.9792,275.4251,0.0,0.0,1360.9896,480.0,0.2732954072
86,1851,284.875,792.25,275.5,0.0,0.0105,1360.9942,480.1037,0.2781296378
87,1852,285.0,793.75,275.6,0.0,0.0316,1360.9148,480.3111,0.2825231095
88,1853,285.125,795.25,275.7,0.0,0.0527,1360.8053,480.5186,0.2866533925
89,1854,285.275,796.75,275.8,0.0,0.0738,1360.6823,480.7262,0.291250213
90,1855,285.425,798.0,275.9,0.0,0.0948,1360.604,480.9338,0.2956271549
91,1856,285.575,799.25,276.0,0.0,0.1159,1360.6065,481.1412,0.3000012526
92,1857,285.725,800.75,276.1,0.0,0.137,1360.7154,481.3486,0.3045893158
93,1858,285.9,802.25,276.2,0.0,0.1581,1360.9076,481.5562,0.3096422069
94,1859,286.075,803.75,276.3,0.0,0.1791,1361.1247,481.7636,0.3146917793
95,1860,286.225,805.25,276.4,0.0,0.2002,1361.1909,481.971,0.3192701445
96,1861,286.375,806.75,276.5,0.0,0.2213,1361.0818,482.1786,0.3238454457
97,1862,286.5,808.25,276.6,0.0,0.2423,1360.932,482.386,0.3279954724
98,1863,286.625,809.75,276.7,0.0,0.2634,1360.8486,482.5934,0.3321873859
